Symbol,Company Name,Yahoo Ticker,Tier,Status
CUMMINSIND,CUMMINSIND,CUMMINSIND.NS,TIER_1,ACTIVE
BALKRISIND,BALKRISIND,BALKRISIND.NS,TIER_1,ACTIVE
APOLLOTYRE,APOLLOTYRE,APOLLOTYRE.NS,TIER_1,ACTIVE
ADANIGREEN,ADANIGREEN,ADANIGREEN.NS,TIER_1,ACTIVE
ADANIPOWER,ADANIPOWER,ADANIPOWER.NS,TIER_1,ACTIVE
ATGL,ATGL,ATGL.NS,TIER_1,ACTIVE
NHPC,NHPC,NHPC.NS,TIER_1,ACTIVE
LUPIN,LUPIN,LUPIN.NS,TIER_1,ACTIVE
TORNTPHARM,TORNTPHARM,TORNTPHARM.NS,TIER_1,ACTIVE
ZYDUSLIFE,ZYDUSLIFE,ZYDUSLIFE.NS,TIER_1,ACTIVE
JUBLFOOD,JUBLFOOD,JUBLFOOD.NS,TIER_1,ACTIVE
SRF,SRF,SRF.NS,TIER_1,ACTIVE
BHEL,BHEL,BHEL.NS,TIER_1,ACTIVE
NMDC,NMDC,NMDC.NS,TIER_1,ACTIVE
